feature,corr_y,mutual_info,auc_uni,missing_ratio,variance
cons_lag2,,0.0009756223516367559,,0.17184432382492204,118.91203750257333
roll24_zero_ratio,,0.0009706980243949033,,0.0,0.10074845825882413
roll3_max,,0.0009267649888486018,,0.12230049659314009,277.899181473795
cons_z_meter,,0.0008931211213221977,,0.2763598567963968,0.9996276001489599
flag_anom_32768,,0.0008585979199113824,,0.0,0.2331340875220942
roll24_mean,,0.0008276311719925821,,0.014050891172960695,94.06076020412827
roll12_mean,,0.00082276161327083,,0.03818762751664934,118.43828156902498
delta2,,0.0007860643052769538,,0.2155368210339916,131.0143899502427
period_hours,,0.0007783834970737619,,0.0,1046.2643464933367
consumption,,0.0007739560485559633,,0.17126688994110176,118.89360176387514
delta1,,0.000761139701990353,,0.19698194556723256,110.82972132848151
roll24_min,,0.0007580877400853738,,0.014050891172960695,34.72494309358826
flag_anom_163840,,0.0006973680290593639,,0.0,0.2331340875220942
roll3_zero_ratio,,0.0006438651200806646,,0.0,0.1638393853724951
roll24_std,,0.0006316643991220648,,0.01743850329137314,128.01038337301463
roll12_max,,0.0005545847870158348,,0.03818762751664934,766.1696552289362
roll3_std,,0.0004503859378955671,,0.1748469800207876,59.055936893957934
roll12_std,,0.0004434141988273311,,0.04869692420217885,115.87528164509656
flag_zero_consumption,,0.00043887843975205234,,0.0,0.2161844438707056
roll3_min,,0.00037079802423258126,,0.12230049659314009,78.81168746243873
roll24_max,,0.0003545259681298684,,0.014050891172960695,1232.1358645645298
roll12_min,,0.00022723872178477688,,0.03818762751664934,59.731527270508955
roll3_mean,,0.0001281136326755459,,0.12230049659314009,124.40779416254406
cons_lag1,,9.417734788764953e-05,,0.17157485467913924,118.89785782591022
roll12_zero_ratio,,6.381725610417533e-05,,0.0,0.11334860090080494
